0,1486,750,736,98,56,42,1388,694,694
1,1535,793,742,111,61,50,1424,732,692
2,1656,859,797,131,61,70,1525,798,727
3,1781,926,855,138,64,74,1643,862,781
4,1849,971,878,130,70,60,1719,901,818
5,1806,927,879,121,64,57,1685,863,822
6,1724,875,849,123,61,62,1601,814,787
7,1675,872,803,123,61,62,1552,811,741
8,1591,829,762,125,62,63,1466,767,699
9,1556,801,755,111,55,56,1445,746,699
10,1561,806,755,83,46,37,1478,760,718
11,1583,816,767,102,53,49,1481,763,718
12,1652,853,799,132,69,63,1520,784,736
13,1744,897,847,125,67,58,1619,830,789
14,1784,911,873,133,69,64,1651,842,809
15,1811,941,870,131,66,65,1680,875,805
16,1887,993,894,148,75,73,1739,918,821
17,1959,1013,946,158,81,77,1801,932,869
18,2038,1028,1010,152,74,78,1886,954,932
19,2081,1048,1033,164,77,87,1917,971,946
20,2145,1099,1046,188,92,96,1957,1007,950
21,2189,1118,1071,180,88,92,2009,1030,979
22,2189,1131,1058,176,90,86,2013,1041,972
23,2172,1126,1046,195,99,96,1977,1027,950
24,2139,1081,1058,188,98,90,1951,983,968
25,2145,1080,1065,187,97,90,1958,983,975
26,2169,1105,1064,211,105,106,1958,1000,958
27,2269,1191,1078,226,120,106,2043,1071,972
28,2392,1228,1164,226,122,104,2166,1106,1060
29,2418,1209,1209,221,119,102,2197,1090,1107
30,2389,1216,1173,212,114,98,2177,1102,1075
31,2361,1184,1177,192,98,94,2169,1086,1083
32,2359,1168,1191,182,91,91,2177,1077,1100
33,2359,1199,1160,185,92,93,2174,1107,1067
34,2343,1206,1137,177,91,86,2166,1115,1051
35,2335,1186,1149,177,95,82,2158,1091,1067
36,2382,1219,1163,174,99,75,2208,1120,1088
37,2384,1210,1174,172,90,82,2212,1120,1092
38,2343,1193,1150,179,82,97,2164,1111,1053
39,2334,1174,1160,181,78,103,2153,1096,1057
40,2277,1121,1156,173,74,99,2104,1047,1057
41,2169,1073,1096,160,80,80,2009,993,1016
42,2080,1057,1023,159,86,73,1921,971,950
43,2038,1064,974,158,79,79,1880,985,895
44,1972,1037,935,136,70,66,1836,967,869
45,1904,984,920,128,58,70,1776,926,850
46,1860,965,895,133,56,77,1727,909,818
47,1871,952,919,144,69,75,1727,883,844
48,1850,930,920,146,75,71,1704,855,849
49,1843,947,896,152,73,79,1691,874,817
50,1793,906,887,157,68,89,1636,838,798
51,1832,918,914,159,74,85,1673,844,829
52,1908,977,931,177,97,80,1731,880,851
53,1959,997,962,175,92,83,1784,905,879
54,2003,995,1008,168,75,93,1835,920,915
55,2044,1028,1016,183,84,99,1861,944,917
56,2078,1039,1039,187,84,103,1891,955,936
57,2035,1009,1026,171,79,92,1864,930,934
58,1983,973,1010,171,79,92,1812,894,918
59,1971,962,1009,187,89,98,1784,873,911
60,1892,931,961,177,86,91,1715,845,870
61,1788,887,901,165,78,87,1623,809,814
62,1742,859,883,159,74,85,1583,785,798
63,1591,743,848,146,62,84,1445,681,764
64,1518,697,821,136,54,82,1382,643,739
65,1451,648,803,133,56,77,1318,592,726
66,1294,544,750,122,50,72,1172,494,678
67,1202,521,681,105,47,58,1097,474,623
68,1108,487,621,97,46,51,1011,441,570
69,991,425,566,93,35,58,898,390,508
70,14444,5006,9438,1056,375,681,13388,4631,8757
