0,1105,566,539,149,78,71,956,488,468
1,1164,591,573,168,89,79,996,502,494
2,1191,617,574,172,95,77,1019,522,497
3,1211,635,576,184,92,92,1027,543,484
4,1161,612,549,186,94,92,975,518,457
5,1118,587,531,164,90,74,954,497,457
6,1115,572,543,160,82,78,955,490,465
7,1115,552,563,161,69,92,954,483,471
8,1089,536,553,162,68,94,927,468,459
9,1117,574,543,167,86,81,950,488,462
10,1172,604,568,180,100,80,992,504,488
11,1197,633,564,155,84,71,1042,549,493
12,1243,657,586,145,74,71,1098,583,515
13,1274,671,603,166,86,80,1108,585,523
14,1319,677,642,175,90,85,1144,587,557
15,1365,681,684,183,100,83,1182,581,601
16,1440,728,712,197,105,92,1243,623,620
17,1513,750,763,214,112,102,1299,638,661
18,1561,785,776,224,124,100,1337,661,676
19,1636,839,797,221,120,101,1415,719,696
20,1740,888,852,242,127,115,1498,761,737
21,1834,940,894,262,136,126,1572,804,768
22,1886,944,942,285,148,137,1601,796,805
23,1941,963,978,297,150,147,1644,813,831
24,2009,1000,1009,294,144,150,1715,856,859
25,2047,1006,1041,306,151,155,1741,855,886
26,2116,1018,1098,311,156,155,1805,862,943
27,2173,1015,1158,328,155,173,1845,860,985
28,2222,1050,1172,334,161,173,1888,889,999
29,2225,1056,1169,321,152,169,1904,904,1000
30,2137,1041,1096,319,153,166,1818,888,930
31,2095,1028,1067,310,148,162,1785,880,905
32,2152,1027,1125,316,151,165,1836,876,960
33,2169,1049,1120,321,164,157,1848,885,963
34,2170,1074,1096,305,160,145,1865,914,951
35,2165,1066,1099,302,158,144,1863,908,955
36,2083,1036,1047,297,148,149,1786,888,898
37,2078,1055,1023,284,143,141,1794,912,882
38,2071,1066,1005,270,144,126,1801,922,879
39,2045,1044,1001,263,146,117,1782,898,884
40,2044,1018,1026,244,129,115,1800,889,911
41,2026,1003,1023,232,107,125,1794,896,898
42,2015,999,1016,240,113,127,1775,886,889
43,2031,1003,1028,227,113,114,1804,890,914
44,2080,1028,1052,242,120,122,1838,908,930
45,2126,1065,1061,277,136,141,1849,929,920
46,2157,1103,1054,272,131,141,1885,972,913
47,2150,1118,1032,272,131,141,1878,987,891
48,2170,1119,1051,287,134,153,1883,985,898
49,2126,1108,1018,288,139,149,1838,969,869
50,2131,1114,1017,292,144,148,1839,970,869
51,2198,1133,1065,290,135,155,1908,998,910
52,2165,1100,1065,298,141,157,1867,959,908
53,2120,1065,1055,332,159,173,1788,906,882
54,2070,1054,1016,341,163,178,1729,891,838
55,1965,981,984,322,146,176,1643,835,808
56,1897,944,953,301,135,166,1596,809,787
57,1865,930,935,301,146,155,1564,784,780
58,1828,891,937,302,145,157,1526,746,780
59,1818,892,926,299,128,171,1519,764,755
60,1769,867,902,304,135,169,1465,732,733
61,1639,800,839,282,141,141,1357,659,698
62,1501,709,792,256,123,133,1245,586,659
63,1334,624,710,226,113,113,1108,511,597
64,1141,545,596,197,94,103,944,451,493
65,964,453,511,189,82,107,775,371,404
66,800,361,439,152,67,85,648,294,354
67,766,341,425,115,52,63,651,289,362
68,853,367,486,113,51,62,740,316,424
69,822,357,465,102,43,59,720,314,406
70,14256,5307,8949,1590,552,1038,12666,4755,7911
