0,1571,806,765,787,399,388,784,407,377
1,1653,861,792,833,427,406,820,434,386
2,1680,849,831,848,431,417,832,418,414
3,1732,873,859,872,431,441,860,442,418
4,1835,953,882,933,475,458,902,478,424
5,1865,965,900,944,497,447,921,468,453
6,1778,921,857,888,455,433,890,466,424
7,1660,862,798,810,406,404,850,456,394
8,1627,845,782,778,408,370,849,437,412
9,1589,826,763,740,395,345,849,431,418
10,1507,781,726,684,350,334,823,431,392
11,1545,784,761,715,361,354,830,423,407
12,1595,810,785,734,374,360,861,436,425
13,1604,820,784,743,376,367,861,444,417
14,1605,813,792,731,366,365,874,447,427
15,1629,826,803,726,369,357,903,457,446
16,1808,920,888,826,414,412,982,506,476
17,1908,984,924,867,442,425,1041,542,499
18,1946,1001,945,865,440,425,1081,561,520
19,1990,1008,982,869,436,433,1121,572,549
20,2054,1043,1011,919,464,455,1135,579,556
21,2226,1137,1089,1042,526,516,1184,611,573
22,2343,1187,1156,1095,560,535,1248,627,621
23,2445,1263,1182,1176,614,562,1269,649,620
24,2506,1306,1200,1242,653,589,1264,653,611
25,2506,1300,1206,1245,646,599,1261,654,607
26,2475,1305,1170,1251,640,611,1224,665,559
27,2484,1297,1187,1282,662,620,1202,635,567
28,2557,1317,1240,1352,703,649,1205,614,591
29,2587,1324,1263,1371,705,666,1216,619,597
30,2645,1365,1280,1428,753,675,1217,612,605
31,2750,1416,1334,1500,782,718,1250,634,616
32,2666,1348,1318,1447,722,725,1219,626,593
33,2614,1301,1313,1424,695,729,1190,606,584
34,2624,1333,1291,1428,716,712,1196,617,579
35,2535,1310,1225,1368,700,668,1167,610,557
36,2460,1270,1190,1301,664,637,1159,606,553
37,2464,1263,1201,1286,646,640,1178,617,561
38,2423,1241,1182,1294,656,638,1129,585,544
39,2332,1180,1152,1247,632,615,1085,548,537
40,2326,1184,1142,1204,604,600,1122,580,542
41,2267,1164,1103,1141,579,562,1126,585,541
42,2183,1091,1092,1107,540,567,1076,551,525
43,2125,1075,1050,1097,540,557,1028,535,493
44,2122,1067,1055,1054,523,531,1068,544,524
45,2089,1025,1064,1033,488,545,1056,537,519
46,2020,1008,1012,1010,487,523,1010,521,489
47,2007,1014,993,996,480,516,1011,534,477
48,2021,1018,1003,1029,491,538,992,527,465
49,2063,1048,1015,1069,533,536,994,515,479
50,2096,1067,1029,1080,534,546,1016,533,483
51,2098,1048,1050,1091,518,573,1007,530,477
52,2169,1088,1081,1188,575,613,981,513,468
53,2211,1085,1126,1214,575,639,997,510,487
54,2282,1073,1209,1250,564,686,1032,509,523
55,2407,1148,1259,1359,625,734,1048,523,525
56,2439,1197,1242,1402,671,731,1037,526,511
57,2352,1167,1185,1345,642,703,1007,525,482
58,2331,1147,1184,1334,618,716,997,529,468
59,2291,1121,1170,1362,645,717,929,476,453
60,2220,1078,1142,1325,629,696,895,449,446
61,2201,1043,1158,1298,585,713,903,458,445
62,2142,996,1146,1280,565,715,862,431,431
63,2081,952,1129,1254,558,696,827,394,433
64,1996,906,1090,1203,533,670,793,373,420
65,1962,896,1066,1177,521,656,785,375,410
66,1878,837,1041,1126,482,644,752,355,397
67,1879,825,1054,1131,485,646,748,340,408
68,1503,670,833,903,401,502,600,269,331
69,971,434,537,562,250,312,409,184,225
70,14753,5427,9326,8326,3030,5296,6427,2397,4030
